time,tau1,tau2,tau3,tau4,tau5,tau6,tau7
0.080000,1.558612,9.408047,2.383534,0.197642,1.512986,6.670088,0.000000
0.081000,1.482015,9.481403,2.350558,0.013510,1.454819,6.517786,-0.000000
0.082000,1.482015,9.481403,2.350558,0.013510,1.454819,6.517786,-0.000000
0.083000,1.408185,9.554565,2.319457,-0.169415,1.397322,6.366345,0.000000
0.084000,1.408185,9.554565,2.319457,-0.169415,1.397322,6.366345,0.000000
0.085000,1.408185,9.554565,2.319457,-0.169415,1.397322,6.366345,0.000000
0.086000,1.337121,9.627450,2.290205,-0.351051,1.340531,6.215804,0.000000
0.087000,1.268695,9.700245,2.262687,-0.531848,1.284362,6.066047,0.000000
0.088000,1.268695,9.700245,2.262687,-0.531848,1.284362,6.066047,0.000000
0.089000,1.235562,9.736506,2.249646,-0.621622,1.256602,5.991599,-0.000000
0.090000,1.235562,9.736506,2.249646,-0.621622,1.256602,5.991599,-0.000000
0.091000,1.140312,9.844029,2.213127,-0.888250,1.174557,5.769702,0.000000
0.092000,1.140312,9.844029,2.213127,-0.888250,1.174557,5.769702,0.000000
0.093000,1.080174,9.914559,2.190836,-1.062995,1.120997,5.623480,-0.000000
0.094000,1.080174,9.914559,2.190836,-1.062995,1.120997,5.623480,-0.000000
0.095000,1.022790,9.983675,2.170169,-1.234519,1.068508,5.478880,0.000000
0.096000,1.022790,9.983675,2.170169,-1.234519,1.068508,5.478880,0.000000
0.097000,0.968134,10.051973,2.151165,-1.404219,1.016931,5.335410,-0.000000
0.098000,0.968134,10.051973,2.151165,-1.404219,1.016931,5.335410,-0.000000
0.099000,0.916194,10.119373,2.133797,-1.572024,0.966290,5.193094,0.000000
0.100000,0.916194,10.119373,2.133797,-1.572024,0.966290,5.193094,0.000000
0.101000,0.866963,10.185808,2.118040,-1.737868,0.916609,5.051961,0.000000
0.102000,0.866963,10.185808,2.118040,-1.737868,0.916609,5.051961,0.000000
0.103000,0.820428,10.251213,2.103869,-1.901687,0.867907,4.912037,-0.000000
0.104000,0.820428,10.251213,2.103869,-1.901687,0.867907,4.912037,-0.000000
0.105000,0.776560,10.315522,2.091246,-2.063442,0.820196,4.773334,0.000000
0.106000,0.776560,10.315522,2.091246,-2.063442,0.820196,4.773334,0.000000
0.107000,0.735345,10.378661,2.080145,-2.223067,0.773491,4.635875,-0.000000
0.108000,0.735345,10.378661,2.080145,-2.223067,0.773491,4.635875,-0.000000
0.109000,0.696781,10.440572,2.070553,-2.380478,0.727820,4.499697,-0.000000
0.110000,0.696781,10.440572,2.070553,-2.380478,0.727820,4.499697,-0.000000
