time,tau1,tau2,tau3,tau4,tau5,tau6,tau7
0,-2.31774e-13,-0.0880168,-1.93078e-13,0.563923,1.69137e-12,2.54499e-11,-2.50244e-12
0,-2.32457e-13,-0.0896971,-1.93638e-13,0.563535,1.69742e-12,2.55708e-11,-2.49889e-12
0,-2.33128e-13,-0.0913765,-1.94188e-13,0.56313,1.70339e-12,2.56912e-11,-2.49526e-12
0,-2.33788e-13,-0.093055,-1.9473e-13,0.562707,1.7093e-12,2.58112e-11,-2.49153e-12
0,-2.34437e-13,-0.0947324,-1.95262e-13,0.562267,1.71513e-12,2.59308e-11,-2.48771e-12
0,-2.35075e-13,-0.0964086,-1.95784e-13,0.561809,1.72089e-12,2.605e-11,-2.4838e-12
0,-2.35702e-13,-0.0980835,-1.96297e-13,0.561335,1.72657e-12,2.61688e-11,-2.47981e-12
0,-2.36318e-13,-0.0997568,-1.96801e-13,0.560844,1.73219e-12,2.62871e-11,-2.47573e-12
0,-2.36923e-13,-0.101429,-1.97295e-13,0.560336,1.73774e-12,2.64052e-11,-2.47158e-12
0,-2.37517e-13,-0.103099,-1.9778e-13,0.559812,1.74321e-12,2.65228e-11,-2.46734e-12
0,-2.38101e-13,-0.104767,-1.98256e-13,0.559272,1.74861e-12,2.664e-11,-2.46303e-12
0,-2.38673e-13,-0.106433,-1.98723e-13,0.558716,1.75395e-12,2.67569e-11,-2.45865e-12
0,-2.39235e-13,-0.108097,-1.99181e-13,0.558144,1.75921e-12,2.68734e-11,-2.45419e-12
0,-2.39786e-13,-0.109759,-1.9963e-13,0.557556,1.76441e-12,2.69896e-11,-2.44966e-12
0,-2.40327e-13,-0.111419,-2.0007e-13,0.556953,1.76953e-12,2.71054e-11,-2.44507e-12
0,-2.40856e-13,-0.113076,-2.00501e-13,0.556335,1.77459e-12,2.72208e-11,-2.43596e-12
0,-2.41376e-13,-0.114731,-2.00923e-13,0.555701,1.77958e-12,2.73359e-11,-2.4268e-12
0,-2.41885e-13,-0.116383,-2.01336e-13,0.555053,1.7845e-12,2.74507e-11,-2.41757e-12
0,-2.42384e-13,-0.118032,-2.0174e-13,0.55439,1.78935e-12,2.75651e-11,-2.40828e-12
0,-2.42872e-13,-0.119678,-2.02136e-13,0.553713,1.79414e-12,2.76792e-11,-2.39893e-12
0,-2.4335e-13,-0.121321,-2.02523e-13,0.553021,1.79886e-12,2.7793e-11,-2.38953e-12
0,-2.43818e-13,-0.122961,-2.02901e-13,0.552315,1.80351e-12,2.78976e-11,-2.38008e-12
0,-2.44276e-13,-0.124598,-2.03271e-13,0.551595,1.8081e-12,2.80019e-11,-2.37057e-12
0,-2.44723e-13,-0.126231,-2.03633e-13,0.550861,1.81262e-12,2.81058e-11,-2.36102e-12
0,-2.45161e-13,-0.127861,-2.03985e-13,0.550113,1.81708e-12,2.82094e-11,-2.35141e-12
0,-2.45589e-13,-0.129488,-2.0433e-13,0.549352,1.82147e-12,2.83128e-11,-2.34176e-12
0,-2.46006e-13,-0.13111,-2.04666e-13,0.548578,1.8258e-12,2.84158e-11,-2.33207e-12
0,-2.46414e-13,-0.132729,-2.04994e-13,0.547791,1.83006e-12,2.85186e-11,-2.32233e-12
0,-2.46812e-13,-0.134344,-2.05313e-13,0.54699,1.83426e-12,2.86211e-11,-2.31255e-12
0,-2.47201e-13,-0.135955,-2.05624e-13,0.546177,1.8384e-12,2.87233e-11,-2.30274e-12
0,-2.47579e-13,-0.137561,-2.05927e-13,0.545351,1.84247e-12,2.88252e-11,-2.29289e-12
0,-2.47949e-13,-0.139164,-2.06222e-13,0.544513,1.84648e-12,2.89269e-11,-2.28301e-12
0,-2.48308e-13,-0.140762,-2.06509e-13,0.543663,1.85043e-12,2.90282e-11,-2.27309e-12
0,-2.48658e-13,-0.142356,-2.06788e-13,0.5428,1.85431e-12,2.91294e-11,-2.26315e-12
0,-2.48999e-13,-0.143945,-2.07059e-13,0.541925,1.85813e-12,2.92302e-11,-2.25317e-12
0,-2.4933e-13,-0.145529,-2.07322e-13,0.541039,1.8619e-12,2.93309e-11,-2.24316e-12
