t,ee_x,ee_y,ee_z
0.0,0.6089097597613422,0.3187504684751013,0.243045
0.14010098989899,0.6080777136389466,0.3239779906603133,0.23938525236010777
0.28020197979798,0.6065448294168851,0.32836430819103,0.23666534742496564
0.42030296969697,0.6044017510359188,0.3319049197107953,0.23504031218291782
0.56040395959596,0.6016122271879948,0.33452379838197305,0.23435891800292552
0.70050494949495,0.5980055254994667,0.33606811033362016,0.23423354351373193
0.840605939393939,0.5932994713952087,0.33632256242684194,0.2342009786591875
0.9807069292929289,0.5871351125825299,0.3350319026015732,0.23391368517158717
1.12080791919192,0.5791081156340799,0.3319224797581328,0.2332776908066453
1.26090890909091,0.568796911979098,0.3267230522636354,0.23246662960453707
1.4010098989899,0.5558024677608043,0.31919424260053286,0.23179446929977338
1.54111088888889,0.5398227276484704,0.3091804388358263,0.23150300129896684
1.68121187878788,0.5207808955634288,0.2966936906228545,0.2315784121681727
1.82131286868687,0.49900027838218297,0.2820200226545932,0.2317165471411199
1.96141385858586,0.4753658377502212,0.2658044884506036,0.23148768949335252
2.10151484848485,0.45136169830982226,0.2490435568958927,0.23062660833139553
2.24161583838384,0.42888091001297074,0.23292927112225104,0.2292644860654377
2.3817168282828294,0.409801480563339,0.21856331031225537,0.22792259878811794
2.52181781818182,0.3954681453454724,0.20664989101510553,0.2272338924062448
2.6619188080808094,0.3863146020742223,0.1973151135143779,0.22755143483199924
2.8020197979798,0.38183333413196746,0.19015226799457807,0.2286928700967708
2.9421207878787894,0.3809536242983507,0.1844838488298267,0.22999588583200226
3.08222177777778,0.3826935148338957,0.17972247719384643,0.2306805394577613
3.2223227676767694,0.3868057718746076,0.175662507109539,0.23033031735853426
3.36242375757576,0.39410718103555487,0.1725647390374934,0.22920295718976363
3.5025247474747494,0.40626207651609847,0.1709857623508636,0.22814017874436748
3.64262573737374,0.4249655992738912,0.17141133371498707,0.22808334879801778
3.7827267272727294,0.4507553740171424,0.1738489615085563,0.22949427535743866
3.92282771717172,0.4820162858943652,0.177576808456597,0.2320806107840278
4.06292870707071,0.5148603031089355,0.18118073666198875,0.2350021580648003
4.2030296969697,0.5441371948940927,0.18286050675301832,0.2373667219606322
4.343130686868689,0.5650113708515402,0.18088211634517745,0.2386449885924078
4.48323167676768,0.5741369577633972,0.17406496480928904,0.2387703717566701
4.62333266666667,0.5700342722564163,0.1622122127310855,0.23796205335186865
4.76343365656566,0.5531180991561416,0.14632666890467635,0.23648408663051768
4.903534646464649,0.5258122405505834,0.12840040927656232,0.2345514445606613
5.04363563636364,0.49242697235887106,0.1107336086632373,0.23243516243190743
5.18373662626263,0.4582218401159896,0.09511242740413615,0.23059221544430097
5.32383761616162,0.4278214345445481,0.08233959279693957,0.22957449345764008
5.463938606060609,0.40391594261566466,0.07231264884760485,0.229694333009979
5.6040395959596,0.3870011178232925,0.06443776681486486,0.23072384540184104
5.74414058585859,0.3761045178498812,0.05804854821784133,0.23193663313340107
5.88424157575758,0.3698848957941868,0.052637330985652125,0.23251832635176717
6.0243425656565694,0.3675079192394285,0.04788969272000693,0.23206279429733756
6.16444355555556,0.369017549682288,0.04361746626873842,0.23081256262172017
6.30454454545455,0.37520165908498343,0.03969206900521471,0.2295036765129777
6.44464553535354,0.3870976743928775,0.036028757760091026,0.22894077476847569
6.5847465252525295,0.405358365263438,0.03261528153465149,0.22957148800392746
6.72484751515151,0.4297324098918874,0.029543630484130962,0.23129139839426865
6.86494850505051,0.4588764448283744,0.026997752645647605,0.23354969385526836
7.0050494949495,0.49057989612466046,0.02517561415007129,0.235654403181201
7.1451504848484895,0.5222959633594793,0.02417519266382486,0.2370922487245838
7.28525147474747,0.5517368955654217,0.023915047273635692,0.23771149610705972
7.425352464646471,0.5772952070287156,0.02414509641198101,0.23772193972856032
7.565453454545459,0.59818139630247,0.024538734994352652,0.23756572318583796
7.7055544444444495,0.6143212105422543,0.024805338959265535,0.23775049344263893
7.84565543434343,0.6261357143039611,0.024764820134927423,0.23871213386734752
7.985756424242431,0.6343173249215561,0.024364865210052607,0.24072848698070037
8.12585741414141,0.6396594660773564,0.023655627081103404,0.2438763811241862
