time,tau1,tau2,tau3,tau4,tau5,tau6,tau7
0.065,-0.127658,-0.540524,-0.111253,0.569655,-0.00898636,0.208224,8.29674e-18
0.066,-0.127658,-0.540524,-0.111253,0.569655,-0.00898636,0.208224,8.29674e-18
0.067,-0.127658,-0.540524,-0.111253,0.569655,-0.00898636,0.208224,8.29674e-18
0.068,-0.127043,-0.538195,-0.110707,0.56572,-0.00894928,0.206468,-5.5488e-18
0.069,-0.126429,-0.53588,-0.110162,0.561796,-0.00891221,0.204717,-1.6076e-17
0.07,-0.126429,-0.53588,-0.110162,0.561796,-0.00891221,0.204717,-1.6076e-17
0.071,-0.126429,-0.53588,-0.110162,0.561796,-0.00891221,0.204717,-1.6076e-17
0.072,-0.125831,-0.533641,-0.10963,0.557978,-0.00887592,0.203009,-5.2315e-18
0.073,-0.125831,-0.533641,-0.10963,0.557978,-0.00887592,0.203009,-5.2315e-18
0.074,-0.126207,-0.534979,-0.109966,0.560167,-0.0089001,0.203975,-2.04398e-17
0.075,-0.126207,-0.534979,-0.109966,0.560167,-0.0089001,0.203975,-2.04398e-17
0.076,-0.125611,-0.532761,-0.109437,0.556376,-0.00886397,0.202278,8.15774e-18
0.077,-0.125611,-0.532761,-0.109437,0.556376,-0.00886397,0.202278,8.15774e-18
0.078,-0.125323,-0.53168,-0.109181,0.554511,-0.00884666,0.201442,5.08253e-19
0.079,-0.125323,-0.53168,-0.109181,0.554511,-0.00884666,0.201442,5.08253e-19
0.08,-0.124721,-0.529464,-0.108644,0.550717,-0.00880981,0.199742,-2.84066e-18
0.081,-0.123798,-0.526071,-0.107822,0.544914,-0.00875323,0.197144,1.46203e-17
0.082,-0.123798,-0.526071,-0.107822,0.544914,-0.00875323,0.197144,1.46203e-17
0.083,-0.123798,-0.526071,-0.107822,0.544914,-0.00875323,0.197144,1.46203e-17
0.084,-0.122593,-0.52161,-0.106748,0.537341,-0.00867936,0.193762,-1.72574e-17
0.085,-0.122273,-0.519595,-0.106491,0.534785,-0.00866498,0.192738,4.90378e-18
0.086,-0.122273,-0.519595,-0.106491,0.534785,-0.00866498,0.192738,4.90378e-18
0.087,-0.121797,-0.516648,-0.106108,0.531042,-0.00864317,0.191236,-1.15466e-17
0.088,-0.121797,-0.516648,-0.106108,0.531042,-0.00864317,0.191236,-1.15466e-17
0.089,-0.121666,-0.515762,-0.106005,0.529916,-0.00863794,0.190785,-1.18317e-17
0.09,-0.121666,-0.515762,-0.106005,0.529916,-0.00863794,0.190785,-1.18317e-17
0.091,-0.121215,-0.512975,-0.105642,0.52637,-0.00861725,0.189362,1.51181e-17
0.092,-0.121215,-0.512975,-0.105642,0.52637,-0.00861725,0.189362,1.51181e-17
0.093,-0.12093,-0.511177,-0.105413,0.52408,-0.00860454,0.188443,2.17224e-17
0.094,-0.12093,-0.511177,-0.105413,0.52408,-0.00860454,0.188443,2.17224e-17
0.095,-0.12065,-0.509413,-0.105189,0.521832,-0.00859207,0.18754,-4.3269e-18
0.096,-0.12065,-0.509413,-0.105189,0.521832,-0.00859207,0.18754,-4.3269e-18
0.097,-0.120377,-0.507682,-0.10497,0.519624,-0.00857995,0.186653,4.09565e-18
0.098,-0.120377,-0.507682,-0.10497,0.519624,-0.00857995,0.186653,4.09565e-18
0.099,-0.120103,-0.505964,-0.10475,0.517432,-0.00856771,0.185773,-1.22994e-17
0.1,-0.120103,-0.505964,-0.10475,0.517432,-0.00856771,0.185773,-1.22994e-17
0.101,-0.119988,-0.50517,-0.10466,0.516419,-0.00856323,0.185366,-2.19477e-18
0.102,-0.119988,-0.50517,-0.10466,0.516419,-0.00856323,0.185366,-2.19477e-18
0.103,-0.119723,-0.503496,-0.104447,0.51428,-0.00855142,0.184506,5.57567e-18
0.104,-0.119723,-0.503496,-0.104447,0.51428,-0.00855142,0.184506,5.57567e-18
0.105,-0.119613,-0.502728,-0.104361,0.513299,-0.00854727,0.184112,1.24e-17
0.106,-0.119613,-0.502728,-0.104361,0.513299,-0.00854727,0.184112,1.24e-17
0.107,-0.119196,-0.50018,-0.104024,0.51004,-0.00852792,0.182802,-2.86452e-18
0.108,-0.119196,-0.50018,-0.104024,0.51004,-0.00852792,0.182802,-2.86452e-18
0.109,-0.118935,-0.498541,-0.103815,0.507942,-0.00851631,0.181958,-1.7437e-17
0.11,-0.118935,-0.498541,-0.103815,0.507942,-0.00851631,0.181958,-1.7437e-17
