elapsed_time,x,y,z
0.0,0.6129746940481344,0.3113661524685595,0.2400397760108895
0.100033,0.6113232775189297,0.3145630039295573,0.23993653542737808
0.200042,0.6095936111296576,0.31787883464345407,0.23985754313187596
0.299983,0.6082149702236263,0.32043311422765264,0.23979705333424475
0.400034,0.6067626108177138,0.3223855685943354,0.23949449382554666
0.500042,0.6048194175195184,0.32346890947944795,0.23897551053648844
0.600079,0.6023146212411646,0.3237587117190509,0.23846510253633182
0.700106,0.5990711110043216,0.3233174442944388,0.23820557802763248
0.800017,0.5950364564868145,0.32216289962969136,0.23830259197149684
0.900123,0.5899081688612774,0.32019998856102083,0.2386682660143644
1.000054,0.5835480285500794,0.317355633087313,0.23914578500552386
1.100002,0.5758285714765694,0.31353398066312976,0.23956477240300877
1.200019,0.5667781419900091,0.3086881765460395,0.23977839667478468
1.299996,0.5561883934982728,0.30266131406689367,0.23977567513001152
1.400021,0.5440882017332759,0.2954495851912512,0.23968515502687254
1.500156,0.5303300972944084,0.28695067784466877,0.23971352201179763
1.600026,0.5153267990884279,0.2774446953886354,0.24006488053587022
1.699996,0.4990105200565973,0.2671744509454588,0.24073743507685003
1.799988,0.481922614869815,0.2566161493038487,0.24130885003620098
1.900064,0.46470791194558486,0.24611667721540603,0.24119967631043115
2.000005,0.4479144002132058,0.23568880019456118,0.23984985023969804
2.100024,0.43206692788157586,0.22540370756945383,0.23707096526814658
2.200011,0.4176514828495172,0.21548969703751195,0.23316209517631292
2.299992,0.4051115967491592,0.2062426729480923,0.22890373411171555
2.400201,0.3947099958069186,0.19787094433577612,0.22532278898784314
2.500029,0.387062004627791,0.190864982727533,0.22333835037837696
2.600062,0.38229580564404253,0.18528982754948925,0.22321409899575756
2.700007,0.38047133482315554,0.18122672659199793,0.22465634652611802
2.800007,0.3810477945629083,0.17823799308092714,0.22594466821243359
2.899992,0.38274150217736486,0.17557795772825474,0.22712368687420065
3.000013,0.38530842860670167,0.17308331931331278,0.22883087357218634
3.099994,0.3892372945061967,0.1709160110515476,0.23086900944857575
3.200064,0.39515287517305503,0.16937541391184388,0.2322248454849722
3.30002,0.4041479307430926,0.16881224808708228,0.23154629516184164
3.400009,0.4161667877430095,0.16911669297929932,0.2296398225109147
3.500068,0.431300384765375,0.17021913793292512,0.22785609260508774
3.600005,0.4500578134198624,0.17222071123235766,0.22735407838700578
3.700047,0.47172539961934296,0.17497285623203387,0.22900306288911165
3.80003,0.4953162441505136,0.17796833113876478,0.23305297536795497
3.900055,0.51907471414135,0.18065169494227473,0.23882009288869546
4.000041,0.5405979126794925,0.18224979039546343,0.24493215077986208
4.100027,0.5575000152712843,0.18195074708025405,0.24961331540735032
4.200043,0.5686107041975442,0.17924839293210815,0.2513356377214175
4.300157,0.5726778869386355,0.1737574981891712,0.25032603799571845
4.400029,0.5723972752095354,0.16631333864151632,0.24653058289237026
4.500022,0.5650244686405469,0.15635319431327327,0.24076746718428554
4.600057,0.5503774560157549,0.14422630926336022,0.23536182583117604
4.700032,0.5300451270482373,0.13098198411849646,0.232194319992352
4.800005,0.5062095336992629,0.1176459085811687,0.23169950776432535
4.900067,0.481622210224691,0.10530132040217656,0.23270120958743312
5.000023,0.45758193353972526,0.09410829323574908,0.23314171900003566
5.100024,0.435674510040285,0.08437965042560469,0.2313824589117626
5.199997,0.4156853202078952,0.07584453414613583,0.22748337301245375
5.300021,0.3982739630023915,0.06871214154293767,0.22309290089729156
5.400022,0.38378527053321426,0.06298691911005903,0.22007714623790461
5.499963,0.3728789730732198,0.058680426141520484,0.21951828976300802
5.600032,0.36600597457704775,0.055502116895768575,0.220995360435434
5.700025,0.3630485503896771,0.05294661363894135,0.22311181910526914
5.800021,0.36306111206152386,0.050669636527203805,0.22401815971627273
5.900015,0.3642774283417028,0.048168387548216694,0.22478896854446564
6.000019,0.3669267666631094,0.04544350709818145,0.22613785084016097
6.100034,0.3721122535251059,0.04271528408373871,0.22736040003594662
6.199999,0.38113434144448033,0.04016788347890265,0.22685382223374254
6.300058,0.39350020111743633,0.037724464839985254,0.22591744407863168
6.400037,0.4091792586745735,0.03534797168498188,0.2257955655298421
6.500057,0.4283250586269592,0.03327346174573687,0.22694379570625134
6.600052,0.45007550286409614,0.031833690450748256,0.22936315188099504
6.700052,0.47404097566953446,0.03111746667480053,0.23278046809247477
6.800007,0.498638373593877,0.030635327531496684,0.2367738421660307
6.900038,0.5228846472795846,0.029982816839161153,0.24084070276224573
7.000079,0.5458703275617848,0.029546585287675814,0.2440386770384365
7.100058,0.5663965341876612,0.02906933678638597,0.2456940082471633
7.200037,0.5838680734930086,0.028453416792911745,0.24546757521860335
7.300033,0.5979156549138346,0.027898956373253347,0.2441519868971274
7.400041,0.6094580322156659,0.0275345190294439,0.24232488382530115
7.500053,0.6184734110471265,0.02740334774676427,0.24018714663903415
7.600036,0.6253206896438489,0.027457991458254394,0.2381728051780957
7.700035,0.6302405392533869,0.027578777705392257,0.2369681485620165
7.799948,0.6336237664845232,0.02757852330004537,0.23727999770695762
7.900038,0.6359431128877805,0.027285888675763925,0.2394778481211692
8.000029,0.6385889410491777,0.02680552965549833,0.24292140591103933
8.100036,0.641061635618286,0.02613454237232926,0.24667723228127308
8.199999,0.642691490130667,0.025335224340278614,0.25024768384708945
8.29999,0.6435000800503156,0.02448564607484728,0.25362468553079087
8.399993,0.6439366755516537,0.02367585315717244,0.25698401465504306
8.500019,0.644355984067058,0.022961257893652345,0.2603944588609373
8.600059,0.6447261822380652,0.02237525146631407,0.2635671818971661
8.700048,0.6450297951799979,0.021911557641077245,0.2662926904836591
8.800061,0.6452496299323894,0.021577048906430543,0.2683411707213129
8.900035,0.6453802532725347,0.021330314308571754,0.26957473257094733
9.000006,0.6454272990595874,0.02112130923909311,0.2699848423333807
9.100004,0.645431235770855,0.021001172726956077,0.2699850112555764
9.200062,0.645431775172243,0.020984588692641054,0.26998501125557495
9.299993,0.6454316610028588,0.020984543863684493,0.2699838269571041
9.399996,0.6454272266996262,0.020982802728556807,0.2699378465675955
9.500073,0.6454098500284254,0.02097597975578669,0.269757989195296
9.600051,0.6453737266430369,0.020961795861261873,0.2693857386727622
9.699991,0.6453190270190393,0.020940317982442003,0.2688262154687022
9.80003,0.6452524140952851,0.02091416233095733,0.26815142184058405
9.900109,0.6451836042352858,0.020887144049609188,0.2674617500191857
10.000038,0.6451246398409333,0.02086399160320672,0.2668765465537578
10.100017,0.6450861548989609,0.020848880440506076,0.2664974052140462
10.200038,0.6450756871453627,0.02084477026337274,0.2663946580380504
10.300021,0.6450756871454209,0.020844770263358126,0.26639465803807094
10.400002,0.6450756871454886,0.020844770263350937,0.26639465803809836
10.500233,0.6450756871455683,0.02084477026334902,0.26639465803813367
10.600037,0.6450756871456633,0.02084477026334937,0.2663946580381842
10.700188,0.6450759560294171,0.020844849024868398,0.2663950262050633
10.80002,0.6451079295210783,0.020854215439795334,0.2664388105080989
10.900005,0.6452316418137195,0.020890469670699796,0.26660831204920515
11.000066,0.6454494512184977,0.02095435179563912,0.26690708941623004
11.100028,0.6457218085667517,0.021034326923587254,0.26728132364482177
11.200018,0.6459985549516808,0.021115698717938655,0.2676623098580668
11.300025,0.6462432523554587,0.02118773804197803,0.2679997832016388
11.400016,0.6464330304188642,0.021243667949910408,0.26826190878050166
11.500034,0.6465718012090635,0.021284598063067872,0.2684538004396094
11.600022,0.6466703915550128,0.02131369385150146,0.2685902430847953
11.700022,0.6467379073582665,0.021333627045172526,0.26868373448716043
11.800022,0.6467837037325604,0.021347151584499763,0.26874717523500125
11.900029,0.6468111638189401,0.02135526251827552,0.2687852247967475
12.000029,0.6468192861579267,0.021357661835940095,0.2687964807577524
12.100014,0.6468192861580762,0.021357661835961092,0.26879648075781826
12.200037,0.64681928615822,0.021357661835991124,0.2687964807578764
12.299991,0.6468192861583575,0.02135766183603116,0.2687964807579264
12.40006,0.646819286158491,0.02135766183608029,0.2687964807579736
12.499998,0.6468192861586194,0.021357661836140976,0.268796480758018
12.600098,0.6468192861587347,0.021357661836209407,0.2687964807580514
12.699999,0.6468192861588403,0.02135766183628722,0.26879648075807766
12.800073,0.6468192861589371,0.021357661836375455,0.26879648075809925
12.900028,0.6468192861590171,0.021357661836468672,0.26879648075810875
13.000029,0.6468192861590875,0.021357661836571923,0.268796480758115
13.100035,0.6468192861591409,0.02135766183667781,0.26879648075811347
13.200058,0.6468192861591792,0.021357661836790623,0.268796480758103
13.300045,0.6468192861592047,0.021357661836910236,0.26879648075808926
13.39999,0.6468192861592129,0.02135766183703132,0.26879648075806667
13.500045,0.6468192861592041,0.021357661837155317,0.26879648075803675
13.59999,0.6468192861591817,0.021357661837284228,0.2687964807580029
13.699996,0.6468192861591456,0.02135766183741193,0.268796480757968
