time,tau1,tau2,tau3,tau4,tau5,tau6,tau7
0,-2.07605e-13,-0.0791386,-1.70619e-13,0.513839,1.51392e-12,2.44986e-11,-2.31949e-12
0,-2.08221e-13,-0.0806544,-1.71122e-13,0.513517,1.51946e-12,2.4613e-11,-2.31762e-12
0,-2.08826e-13,-0.0821697,-1.71617e-13,0.51318,1.52492e-12,2.47271e-11,-2.31567e-12
0,-2.09421e-13,-0.0836843,-1.72104e-13,0.512826,1.53033e-12,2.48408e-11,-2.31362e-12
0,-2.10006e-13,-0.0851981,-1.72582e-13,0.512457,1.53567e-12,2.49542e-11,-2.31149e-12
0,-2.10581e-13,-0.086711,-1.73051e-13,0.512072,1.54094e-12,2.50671e-11,-2.30928e-12
0,-2.11145e-13,-0.0882228,-1.73512e-13,0.511672,1.54615e-12,2.51797e-11,-2.30698e-12
0,-2.117e-13,-0.0897335,-1.73965e-13,0.511257,1.55129e-12,2.5292e-11,-2.30461e-12
0,-2.12245e-13,-0.0912429,-1.7441e-13,0.510826,1.55638e-12,2.54038e-11,-2.29772e-12
0,-2.1278e-13,-0.092751,-1.74846e-13,0.51038,1.56139e-12,2.55154e-11,-2.29075e-12
0,-2.13305e-13,-0.0942575,-1.75274e-13,0.50992,1.56635e-12,2.56265e-11,-2.28371e-12
0,-2.1382e-13,-0.0957624,-1.75695e-13,0.509445,1.57124e-12,2.57374e-11,-2.2766e-12
0,-2.14326e-13,-0.0972657,-1.76107e-13,0.508956,1.57607e-12,2.58479e-11,-2.26942e-12
0,-2.14822e-13,-0.098767,-1.76511e-13,0.508453,1.58084e-12,2.5958e-11,-2.26217e-12
0,-2.15308e-13,-0.100266,-1.76907e-13,0.507935,1.58555e-12,2.60679e-11,-2.25485e-12
0,-2.15785e-13,-0.101764,-1.77295e-13,0.507404,1.59019e-12,2.61774e-11,-2.24748e-12
0,-2.16252e-13,-0.103259,-1.77675e-13,0.506859,1.59477e-12,2.62866e-11,-2.24004e-12
0,-2.16709e-13,-0.104752,-1.78047e-13,0.5063,1.5993e-12,2.63954e-11,-2.23253e-12
0,-2.17158e-13,-0.106243,-1.78411e-13,0.505728,1.60376e-12,2.6504e-11,-2.22498e-12
0,-2.17158e-13,-0.106243,-1.78411e-13,0.505728,1.60376e-12,2.6504e-11,-2.22498e-12
0,-2.18026e-13,-0.109216,-1.79117e-13,0.504544,1.6125e-12,2.67202e-11,-2.2097e-12
0,-2.19079e-13,-0.110708,-1.79975e-13,0.503923,1.62027e-12,2.68525e-11,-2.21898e-12
0,-2.18862e-13,-0.112189,-1.79796e-13,0.503299,1.62103e-12,2.69353e-11,-2.19421e-12
0,-2.19258e-13,-0.113666,-1.80117e-13,0.502663,1.62516e-12,2.70421e-11,-2.18625e-12
0,-2.19651e-13,-0.11514,-1.80435e-13,0.502014,1.62927e-12,2.71489e-11,-2.17839e-12
0,-2.20034e-13,-0.116611,-1.80746e-13,0.501352,1.63331e-12,2.72555e-11,-2.17048e-12
0,-2.20409e-13,-0.118079,-1.81049e-13,0.500679,1.6373e-12,2.73617e-11,-2.16253e-12
0,-2.20774e-13,-0.119544,-1.81345e-13,0.499993,1.64123e-12,2.74677e-11,-2.15453e-12
0,-2.21131e-13,-0.121005,-1.81634e-13,0.499296,1.64511e-12,2.75735e-11,-2.1465e-12
0,-2.21479e-13,-0.122463,-1.81915e-13,0.498587,1.64892e-12,2.76789e-11,-2.13843e-12
0,-2.21818e-13,-0.123917,-1.82189e-13,0.497866,1.65268e-12,2.77842e-11,-2.13032e-12
0,-2.22149e-13,-0.125368,-1.82456e-13,0.497135,1.65639e-12,2.78891e-11,-2.12218e-12
0,-2.2247e-13,-0.126814,-1.82716e-13,0.496392,1.66004e-12,2.79939e-11,-2.11401e-12
0,-2.22783e-13,-0.128257,-1.82968e-13,0.495638,1.66363e-12,2.80984e-11,-2.10581e-12
0,-2.23088e-13,-0.129696,-1.83213e-13,0.494873,1.66716e-12,2.82026e-11,-2.09757e-12
0,-2.23384e-13,-0.131131,-1.83451e-13,0.494097,1.67065e-12,2.82977e-11,-2.08931e-12
0,-2.23671e-13,-0.132562,-1.83683e-13,0.493311,1.67407e-12,2.83926e-11,-2.08103e-12
0,-2.23951e-13,-0.133988,-1.83907e-13,0.492514,1.67745e-12,2.84873e-11,-2.07271e-12
0,-2.24221e-13,-0.135411,-1.84124e-13,0.491707,1.68077e-12,2.85818e-11,-2.06438e-12
0,-2.24484e-13,-0.136828,-1.84335e-13,0.49089,1.68403e-12,2.8676e-11,-2.05603e-12
0,-2.24738e-13,-0.138242,-1.84539e-13,0.490063,1.68724e-12,2.87701e-11,-2.04765e-12
0,-2.24984e-13,-0.13965,-1.84736e-13,0.489226,1.6904e-12,2.88639e-11,-2.03482e-12
0,-2.25222e-13,-0.141054,-1.84926e-13,0.488379,1.69351e-12,2.89575e-11,-2.02198e-12
0,-2.25452e-13,-0.142454,-1.85109e-13,0.487522,1.69656e-12,2.9051e-11,-2.00911e-12
0,-2.25674e-13,-0.143848,-1.85286e-13,0.486657,1.69957e-12,2.91442e-11,-1.99624e-12
0,-2.25888e-13,-0.145238,-1.85456e-13,0.485781,1.70252e-12,2.92372e-11,-1.98335e-12
0,-2.26094e-13,-0.146622,-1.8562e-13,0.484897,1.70542e-12,2.93301e-11,-1.97046e-12
0,-2.26292e-13,-0.148002,-1.85778e-13,0.484004,1.70826e-12,2.94228e-11,-1.95756e-12
0,-2.26482e-13,-0.149376,-1.85928e-13,0.483102,1.71106e-12,2.95153e-11,-1.94465e-12
0,-2.26665e-13,-0.150745,-1.86073e-13,0.482191,1.71381e-12,2.96076e-11,-1.93173e-12
0,-2.2684e-13,-0.152108,-1.86211e-13,0.481271,1.71651e-12,2.96997e-11,-1.91882e-12
0,-2.27007e-13,-0.153467,-1.86343e-13,0.480343,1.71916e-12,2.97917e-11,-1.9059e-12
0,-2.27167e-13,-0.154819,-1.86468e-13,0.479407,1.72176e-12,2.98835e-11,-1.89298e-12
0,-2.27319e-13,-0.156166,-1.86588e-13,0.478462,1.72431e-12,2.99752e-11,-1.88006e-12
0,-2.27463e-13,-0.157508,-1.86701e-13,0.47751,1.72681e-12,3.00666e-11,-1.86714e-12
0,-2.27601e-13,-0.158844,-1.86808e-13,0.476549,1.72927e-12,3.0158e-11,-1.85422e-12
0,-2.27731e-13,-0.160174,-1.86909e-13,0.47558,1.73167e-12,3.02492e-11,-1.84132e-12
0,-2.27854e-13,-0.161498,-1.87004e-13,0.474604,1.73403e-12,3.03402e-11,-1.82842e-12
0,-2.27969e-13,-0.162816,-1.87093e-13,0.473621,1.73634e-12,3.04311e-11,-1.81552e-12
0,-2.28077e-13,-0.164128,-1.87176e-13,0.47263,1.73861e-12,3.05219e-11,-1.80264e-12
0,-2.28179e-13,-0.165434,-1.87253e-13,0.471631,1.74083e-12,3.06125e-11,-1.78977e-12
0,-2.28273e-13,-0.166734,-1.87325e-13,0.470626,1.743e-12,3.0703e-11,-1.77691e-12
0,-2.2836e-13,-0.168027,-1.8739e-13,0.469613,1.74513e-12,3.07934e-11,-1.76406e-12
0,-2.2844e-13,-0.169315,-1.8745e-13,0.468593,1.74721e-12,3.08837e-11,-1.75123e-12
0,-2.28513e-13,-0.170595,-1.87505e-13,0.467567,1.74925e-12,3.09738e-11,-1.73841e-12
0,-2.2858e-13,-0.17187,-1.87553e-13,0.466534,1.75124e-12,3.10638e-11,-1.72562e-12
0,-2.28639e-13,-0.173138,-1.87596e-13,0.465494,1.75319e-12,3.11537e-11,-1.71283e-12
0,-2.28692e-13,-0.174399,-1.87634e-13,0.464448,1.75509e-12,3.12435e-11,-1.70007e-12
0,-2.28739e-13,-0.175654,-1.87666e-13,0.463396,1.75695e-12,3.13332e-11,-1.68734e-12
0,-2.28778e-13,-0.176902,-1.87692e-13,0.462338,1.75877e-12,3.14227e-11,-1.67462e-12
0,-2.28812e-13,-0.178143,-1.87713e-13,0.461273,1.76054e-12,3.15033e-11,-1.66193e-12
0,-2.28838e-13,-0.179378,-1.87729e-13,0.460202,1.76227e-12,3.15838e-11,-1.64926e-12
0,-2.28858e-13,-0.180605,-1.8774e-13,0.459126,1.76396e-12,3.16642e-11,-1.63662e-12
0,-2.28872e-13,-0.181826,-1.87745e-13,0.458044,1.76561e-12,3.17446e-11,-1.62401e-12
0,-2.2888e-13,-0.18304,-1.87745e-13,0.456956,1.76722e-12,3.18248e-11,-1.60699e-12
0,-2.28881e-13,-0.184246,-1.8774e-13,0.455863,1.76878e-12,3.19049e-11,-1.59e-12
0,-2.28876e-13,-0.185445,-1.8773e-13,0.454764,1.7703e-12,3.1985e-11,-1.57303e-12
0,-2.28865e-13,-0.186638,-1.87715e-13,0.45366,1.77179e-12,3.2065e-11,-1.5561e-12
0,-2.28847e-13,-0.187822,-1.87695e-13,0.452551,1.77323e-12,3.21449e-11,-1.53921e-12
0,-2.28824e-13,-0.189,-1.87669e-13,0.451437,1.77463e-12,3.22247e-11,-1.52234e-12
